game_id,team1_name,team2_name,start_time,time_left,spread,fav_spread,dog_spread,O/U
485266,Chiefs,Broncos,1641677400000,1641677400000,10,Chiefs -10,Broncos +10,44.5
485261,Cowboys,Eagles,1641690900000,1641690900000,7,Cowboys -7,Eagles +7,43
485256,Bengals,Browns,1641751200000,1641751200000,-6,Browns -6,Bengals +6,38
485257,Packers,Lions,1641751200000,1641751200000,3.5,Packers -3.5,Lions +3.5,44.5
485259,Bears,Vikings,1641751200000,1641751200000,-4,Vikings -4,Bears +4,44.5
485260,Football Team,Giants,1641751200000,1641751200000,7,Football Team -7,Giants +7,38
485263,Colts,Jaguars,1641751200000,1641751200000,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
485264,Steelers,Ravens,1641751200000,1641751200000,-5.5,Ravens -5.5,Steelers +5.5,41.5
485265,Titans,Texans,1641751200000,1641751200000,10,Titans -10,Texans +10,43
485254,Saints,Falcons,1641763500000,1641763500000,4.5,Saints -4.5,Falcons +4.5,40
485255,Jets,Bills,1641763500000,1641763500000,-16.5,Bills -16.5,Jets +16.5,41.5
485258,Patriots,Dolphins,1641763500000,1641763500000,6.5,Patriots -6.5,Dolphins +6.5,40
485262,Panthers,Buccaneers,1641763500000,1641763500000,-8,Buccaneers -8,Panthers +8,41.5
485268,49ers,Rams,1641763500000,1641763500000,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
485269,Seahawks,Cardinals,1641763500000,1641763500000,-6.5,Cardinals -6.5,Seahawks +6.5,48
485267,Chargers,Raiders,1641777600000,1641777600000,3,Chargers -3,Raiders +3,49.5
